Temperature,Energy,Energy2,Magnet,Magnet2
1.850000024,-3.671836000,13.499386800,.948313000,.899981325,
1.870000005,-3.649436000,13.336296640,.944017000,.891951480,
1.889999986,-3.631508000,13.206301680,.941332000,.886856705,
1.909999967,-3.606808000,13.029814080,.936244500,.877528653,
1.930000067,-3.588118000,12.896101320,.932574500,.870689997,
1.950000048,-3.561630000,12.709094280,.927223500,.861003943,
1.970000029,-3.538022000,12.543957720,.920819500,.849875337,
1.990000010,-3.502014000,12.291913320,.914264000,.837528175,
2.009999990,-3.458994000,11.995289720,.903246000,.818085610,
2.029999971,-3.450952000,11.939545520,.902882500,.817180303,
2.049999952,-3.415596000,11.701431840,.893353500,.800773413,
2.069999933,-3.388456000,11.518973040,.886275500,.788804408,
2.089999914,-3.345112000,11.229492160,.876600500,.772205078,
2.110000134,-3.307064000,10.980196400,.863391500,.750719278,
2.130000114,-3.252806000,10.634379560,.694313500,.715081602,
2.150000095,-3.209346000,10.359536600,.299370500,.692715923,
2.170000076,-3.180796000,10.173857520,.826762500,.692431703,
2.190000057,-3.117520000,9.781135520,.799491000,.651921695,
2.210000038,-3.086328000,9.590513200,.795397000,.644973230,
2.230000019,-3.029002000,9.240414520,.774723500,.613703163,
2.250000000,-2.954920000,8.799644720,-.741659500,.566943812,
2.269999981,-2.912530000,8.560598600,.718191000,.542604005,
2.289999962,-2.867636000,8.296261120,-.603574500,.519114617,
2.309999943,-2.706926000,7.416122760,-.097168500,.377472963,
2.329999924,-2.669940000,7.216842560,.086195500,.365789158,
2.349999905,-2.673200000,7.226362400,.000201500,.396030848,
2.369999886,-2.584738000,6.765777320,-.147038000,.338080365,
2.389999866,-2.481678000,6.238842920,.096107000,.254339040,
2.410000086,-2.423730000,5.950639320,-.023708500,.220985498,
2.430000067,-2.413270000,5.898221800,-.078128000,.230667155,
2.450000048,-2.337460000,5.535825040,.044844500,.187890918,
2.470000029,-2.286024000,5.292608000,.052518500,.170708132,
2.490000010,-2.243576000,5.095536720,-.007073000,.135939515,
2.509999990,-2.198280000,4.892965440,.029491500,.129620238,
2.529999971,-2.196432000,4.884901440,-.020919000,.133879680,
2.549999952,-2.156626000,4.709239160,-.000555000,.114518145,
2.569999933,-2.104944000,4.480105520,.007060500,.096534113,
2.590000153,-2.078320000,4.367629600,-.019642000,.087860985,
2.610000134,-2.046610000,4.238457960,-.027471000,.087231085,
2.630000114,-2.012192000,4.096078400,.035605500,.070894267,
2.650000095,-1.983766000,3.980575480,-.017915500,.066837408,
2.670000076,-1.965298000,3.908064440,.027229500,.063622317,
2.690000057,-1.937440000,3.796474080,-.008443000,.058555070,
2.710000038,-1.910086000,3.692684520,.007639000,.055235690,
2.730000019,-1.889564000,3.615125920,.003388000,.057114670,
2.750000000,-1.858138000,3.492760200,.012084000,.049254045,
2.769999981,-1.850332000,3.464488240,-.026360000,.051341450,
2.789999962,-1.820552000,3.355255040,-.002150000,.043729645,
2.809999943,-1.808306000,3.310482680,-.003424500,.043811888,
2.829999924,-1.789188000,3.240804960,.003454500,.040443007,
2.849999905,-1.771982000,3.181088200,.010229500,.044133943,
2.000000000,-3.490991000,12.216006940,.911561750,.832716549,
2.009999990,-3.478587000,12.129732580,.909541750,.829080211,
2.019999981,-3.463921000,12.029056060,.904313000,.820094265,
2.000000000,-3.489308000,12.203688400,.911219750,.832030656,
2.009999990,-3.482499000,12.156713100,.910849500,.831330815,
2.019999981,-3.466081000,12.043687420,.906611250,.823844169,
